Id,SalePrice
1461,129266.37
1462,154145.75
1463,193535.42
1464,209732.4
1465,143191.86
1466,199828.83
1467,137373.1
1468,211747.8
1469,227098.58
1470,203700.94
1471,90043.37
1472,146967.58
1473,159660.88
1474,129757.21
1475,162312.25
1476,140523.81
1477,144893.84
1478,132900.95
1479,178829.27
1480,143171.5
1481,186189.38
1482,143939.95
1483,184575.6
1484,189059.05
1485,178258.84
1486,181623.25
1487,158670.12
1488,191541.34
1489,150438.9
1490,171233.62
1491,183941.61
1492,230663.4
1493,120213.016
1494,161484.53
1495,188014.03
1496,168029.0
1497,131558.72
1498,134139.4
1499,125848.38
1500,146426.3
1501,150682.72
1502,123415.43
1503,134567.23
1504,164546.45
1505,170121.73
1506,204057.72
1507,220871.84
1508,173954.22
1509,164283.66
1510,166431.14
1511,154434.3
1512,137677.1
1513,172282.11
1514,140638.05
1515,130239.47
1516,175287.95
1517,188114.66
1518,184895.89
1519,149822.67
1520,165593.0
1521,167056.08
1522,151860.19
1523,192037.2
1524,197453.86
1525,152821.95
1526,208754.2
1527,244104.95
1528,133811.81
1529,202924.77
1530,132483.88
1531,123421.91
1532,111737.76
1533,121830.766
1534,189573.6
1535,166678.3
1536,172112.97
1537,230465.95
1538,151114.73
1539,102623.79
1540,269330.0
1541,157661.62
1542,155091.83
1543,113952.02
1544,135822.62
1545,155259.5
1546,197517.14
1547,109293.1
1548,178191.55
1549,157210.6
1550,190540.03
1551,188971.08
1552,196170.4
1553,130035.44
1554,142683.39
1555,182077.1
1556,80158.516
1557,114639.055
1558,111795.21
1559,144856.95
1560,122217.35
1561,107015.555
1562,175634.52
1563,218296.11
1564,135744.94
1565,106688.87
1566,124346.74
1567,220105.81
1568,121313.9
1569,255755.16
1570,215434.39
1571,125609.766
1572,212461.03
1573,139877.48
1574,297396.16
1575,94187.53
1576,164003.14
1577,161254.92
1578,133711.42
1579,133689.86
1580,184321.95
1581,176048.55
1582,211150.3
1583,212892.64
1584,189621.33
1585,187360.0
1586,134959.98
1587,211393.28
1588,234675.11
1589,209892.08
1590,190397.98
1591,196050.33
1592,113741.07
1593,216528.12
1594,55568.684
1595,196835.12
1596,142451.98
1597,159011.12
1598,173820.06
1599,154819.03
1600,142451.84
1601,150727.28
1602,153416.88
1603,188909.64
1604,157849.55
1605,193917.69
1606,144279.69
1607,197030.98
1608,157040.67
1609,163796.5
1610,194489.8
1611,163069.88
1612,217887.61
1613,220829.72
1614,210220.42
1615,214504.27
1616,196248.98
1617,170271.06
1618,168091.19
1619,169975.3
1620,120611.37
1621,159824.34
1622,180584.55
1623,122190.9
1624,155169.2
1625,171308.6
1626,201293.19
1627,185209.67
1628,223969.97
1629,175605.36
1630,217194.48
1631,290119.1
1632,197642.62
1633,158774.88
1634,175605.03
1635,208206.66
1636,188537.61
1637,163049.03
1638,156983.77
1639,153983.83
1640,188518.02
1641,159728.05
1642,166030.7
1643,114383.08
1644,138662.2
1645,110215.97
1646,155927.1
1647,166758.75
1648,187142.86
1649,185619.9
1650,164740.2
1651,125470.3
1652,162768.45
1653,148156.86
1654,117011.2
1655,124530.21
1656,147025.77
1657,136262.97
1658,111285.37
