Id,SalePrice
1461,113569.92101018876
1462,163163.54646079987
1463,188255.08747615665
1464,190902.3714909032
1465,188134.0527413711
1466,170466.64842344075
1467,177422.48149534315
1468,166778.33649864048
1469,181505.6800473854
1470,125417.33028087765
1471,190293.53578264266
1472,96180.00595658273
1473,100826.95121257752
1474,151641.6431589797
1475,124455.03914826363
1476,390404.04064273834
1477,258456.02365884185
1478,291289.84866336733
1479,288292.64150654525
1480,495184.4614122808
1481,330247.9128334448
1482,206360.51336664706
1483,164028.54489073902
1484,170688.29927840084
1485,179125.22799808532
1486,193790.07023521513
1487,342107.80929630995
1488,231687.88171657175
1489,210378.73593962193
1490,227725.9626532048
1491,190189.3636424318
1492,91691.78927627951
1493,191536.5571795255
1494,304433.8654256314
1495,298625.4839443937
1496,238959.65814646333
1497,185190.83210813254
1498,157542.57047876716
1499,157455.22975221276
1500,151944.88223153353
1501,168524.29720454663
1502,151897.88708793372
1503,301366.3781464249
1504,241750.8578825891
1505,222404.01577539742
1506,185855.63586740196
1507,239401.4142595306
1508,191027.61856710166
1509,162037.78942840546
1510,143593.0049135536
1511,141681.99582134932
1512,167501.8362312168
1513,131714.19591364264
1514,167019.0179764554
1515,202373.66779672354
1516,153340.21889282018
1517,164546.55768663436
1518,133335.21585340053
1519,229671.36454949528
1520,134438.04124172777
1521,135087.149747096
1522,168552.75113271922
1523,110278.48277226835
1524,121655.91814867407
1525,120788.35860928148
1526,115620.55817759037
1527,104244.25207345933
1528,137629.52288546413
1529,145544.58603008837
1530,174686.1182482615
1531,114425.41315996647
1532,98715.22975806147
1533,140041.859629184
1534,119041.89544501156
1535,150613.4928952083
1536,105766.85676243156
1537,70914.54548335075
1538,164203.66844558716
1539,200328.0456411615
1540,100028.28448566794
1541,135284.01218052953
1542,132200.22292474657
1543,215202.4023341462
1544,75782.16627108306
1545,105172.21831443906
1546,128214.53734626621
1547,140714.7511542365
1548,131137.9555342123
1549,111401.38167271763
1550,132243.84540701658
1551,115663.52264712006
1552,148070.37763471156
1553,151351.7804228589
1554,110165.80260325223
1555,172609.70475067198
1556,93741.9303265512
1557,103527.61176408082
1558,100044.57870405167
1559,76137.45962163806
1560,133560.7232143879
1561,132666.9455619082
1562,128819.44189623743
1563,120127.96930233389
1564,164351.50613547117
1565,142939.9382900223
1566,250366.9985775277
1567,71472.0016623959
1568,230022.24376239628
1569,139002.55821673572
1570,135652.48383242637
1571,132188.10025701672
1572,152355.92299943417
1573,261921.836798653
1574,113918.42933525145
1575,244382.8100944683
1576,223459.25570950657
1577,199163.6206761822
1578,145360.49017833918
1579,142374.91018808633
1580,195557.08955606073
1581,157883.4942009598
1582,128464.04840930551
1583,330708.33250742406
1584,226253.18549140543
1585,138744.16947627813
1586,72033.9529048428
1587,98110.82677990198
1588,157208.6545514986
1589,93237.67971128225
1590,134519.65006681532
1591,98873.93245429546
1592,113946.86310704798
1593,129708.53492823988
1594,165650.66894166917
1595,111424.52638877928
1596,233747.00052510202
1597,190761.84004651755
1598,193590.9217012152
1599,182490.0291909352
1600,171500.214225851
1601,78951.27166251093
1602,111244.67100033909
1603,88421.39200143516
